date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
2014-11-23 164242,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,59
2014-11-23 164834,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,36
2014-11-23 165047,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,2,3,151,69,46
2014-11-23 165616,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,36
2014-11-23 170051,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,81
2014-11-23 170612,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,6
2014-11-23 171017,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,82
2014-11-23 171636,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,1236,81
2014-11-23 171742,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,1236,36
2014-11-23 171841,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,29
2014-11-23 172121,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,2,3,151,69,36
2014-11-23 173824,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,1236,36
2014-11-23 173902,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,29
2014-11-23 174108,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,36
2014-11-23 174810,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,36
2014-11-23 174852,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,1236,53
2014-11-23 180220,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,1,1,3,151,69,36
2014-12-28 214349,30,4,195,991,20735,,1048,0,0,9,2015-07-13,2015-07-16,2,0,1,13474,4,0,1,6,204,27,8
2013-02-15 131843,2,3,66,462,41898,2716.6746,1482,0,0,1,2013-02-24,2013-03-01,2,0,1,8857,1,0,1,2,50,214,28
2013-02-16 115750,2,3,66,462,41898,2716.5257,1482,0,0,0,2013-02-24,2013-03-01,2,0,1,8857,1,0,1,2,50,214,73
2013-02-16 120345,2,3,66,462,41898,2722.4856,1482,0,0,0,2013-02-24,2013-03-01,2,0,1,8857,1,0,1,2,50,214,26
2013-02-16 122357,2,3,66,462,41898,2716.6746,1482,0,0,0,2013-03-01,2013-03-06,2,0,1,8857,1,0,1,2,50,214,28
2014-01-03 161915,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-21,2014-02-26,3,0,2,12009,1,0,1,2,50,680,95
2014-01-03 163017,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-22,2014-02-27,3,0,2,12009,1,1,1,2,50,680,95
2014-01-03 163426,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-21,2014-02-26,2,0,1,12009,1,0,1,2,50,680,95
2014-01-03 164456,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-22,2014-02-27,2,0,1,12009,1,1,1,2,50,680,95
2014-01-03 165819,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-23,2014-02-26,2,0,1,12009,1,0,1,2,50,680,95
2014-01-03 171136,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-24,2014-02-27,2,0,1,12009,1,1,1,2,50,680,95
2014-01-04 145708,2,3,66,462,41898,2454.8588,1482,0,1,0,2014-02-21,2014-02-26,3,0,2,12009,1,0,1,2,50,680,95
2014-01-04 150154,2,3,66,462,41898,2454.8588,1482,0,0,0,2014-02-21,2014-02-26,2,0,1,12009,1,0,1,2,50,680,95
2014-01-04 150207,2,3,66,462,41898,2454.8588,1482,0,0,0,2014-02-22,2014-02-27,2,0,1,12009,1,0,2,2,50,680,95
2014-01-08 132856,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-21,2014-02-24,4,0,2,12009,1,0,1,2,50,680,95
2014-01-08 133134,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-21,2014-02-24,3,0,2,12009,1,0,1,2,50,680,95
2014-01-08 133803,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-21,2014-02-24,2,0,1,12009,1,0,3,2,50,680,95
2014-01-08 134216,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-21,2014-02-24,2,0,2,12009,1,0,1,2,50,680,95
2014-01-08 134642,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-21,2014-02-24,1,0,1,12009,1,0,1,2,50,680,95
2014-01-08 135704,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-21,2014-02-23,3,0,2,12009,1,0,1,2,50,680,95
2014-01-08 135804,2,3,66,462,41898,2454.8588,1482,0,1,1,2014-02-21,2014-02-23,2,0,2,12009,1,0,1,2,50,680,95
2014-01-08 140336,2,3,66,462,41898,2454.8588,1482,0,0,1,2014-02-22,2014-02-24,1,0,1,28494,6,0,1,2,50,680,95
2014-01-08 140947,2,3,66,462,41898,2454.8588,1482,0,0,1,2014-02-22,2014-02-24,3,0,2,28494,6,0,1,2,50,680,95
2014-01-08 141540,2,3,66,462,41898,2455.2272,1482,0,0,1,2014-02-22,2014-02-27,2,0,1,28494,6,0,4,2,50,680,77
2014-01-08 141831,2,3,66,462,41898,2455.2272,1482,0,0,1,2014-02-22,2014-02-24,1,0,1,28494,6,0,4,2,50,680,77
2014-01-08 143025,2,3,66,462,41898,2455.2272,1482,0,0,1,2014-02-22,2014-02-24,3,0,2,28494,6,0,2,2,50,680,77
2014-05-14 145751,2,3,66,462,49272,16.7526,1482,0,0,0,2014-06-05,2014-06-06,2,0,1,23454,6,0,1,2,50,552,13
